transaction_date,card,merchant,amount_cad
2024-11-07,amex-1001,=HOLYCOWSTEAKHOUSE 001  TORONTO,45.48
2024-11-09,amex-1001,BUSINESS INSIDER        NEW YORK,16.89
2024-11-10,amex-1001,SHAKE SHACK 00-08042677 TORONTO,26.52
2024-11-11,amex-1001,PAYMENT RECEIVED - THANK YOU,-107.63
2024-11-11,amex-1001,RABBA FINE FOODS #171   TORONTO,7.99
2024-11-12,amex-1001,GOOGLE *DOW JONES       G.CO/HELPPAY#,48.50
2024-11-12,amex-1001,PETRO CANADA00823       TORONTO,71.06
2024-11-12,amex-1001,TST-BAR AFTER SEVEN     TORONTO,8.46
2024-11-13,amex-1001,NEW WOK NEW WOK         TORONTO,12.37
2024-11-13,amex-1001,TIM HORTONS #3143       TORONTO,9.80
2024-11-14,amex-1001,GOOGLE *MANGOTV         G.CO/HELPPAY#,2.02
2024-11-14,amex-1001,RABBA FINE FOODS #171   TORONTO,7.99
2024-11-14,amex-1001,TIM HORTONS #3143       TORONTO,5.28
2024-11-15,amex-1001,2403384 ONTARIO LIMITED CALEDON,12.99
2024-11-16,amex-1001,CHIPOTLE #3100          MARKHAM,20.40
2024-11-16,amex-1001,GOOGLE *MANGOTV         G.CO/HELPPAY#,6.20
2024-11-16,amex-1001,IKEA TORONTO DOWNTOWN 6 TORONTO,15.23
2024-11-16,amex-1001,IKEA TORONTO DOWNTOWN 6 TORONTO,90.38
2024-11-17,amex-1001,AMAZON.CA*NT2G59TF3     AMAZON.CA,564.99
2024-11-17,amex-1001,DOORDASHYOUDONYA        DOWNTOWN TORONT,42.93
2024-11-17,amex-1001,NETFLIX.COM             844-505-2993,6.77
2024-11-18,amex-1001,RABBA FINE FOODS #171   TORONTO,7.99
2024-11-18,amex-1001,TST-BAR AFTER SEVEN     TORONTO,8.46
2024-11-19,amex-1001,407-ETR-WEB 407-ETR-WEB WOODBRIDGE,24.45
2024-11-19,amex-1001,=HOLYCOWSTEAKHOUSE 001  TORONTO,25.98
2024-11-19,amex-1001,APPLE.COM/BILL          TORONTO,4.51
2024-11-19,amex-1001,PHOTOAID                PODLASKIE,11.95
2024-11-20,amex-1001,=HOLYCOWSTEAKHOUSE 001  TORONTO,25.98
2024-11-20,amex-1001,=HOLYCOWSTEAKHOUSE 001  TORONTO,45.48
2024-11-21,amex-1001,TST-BAR AFTER SEVEN     TORONTO,8.46
2024-11-22,amex-1001,2403384 ONTARIO LIMITED CALEDON,14.23
2024-11-22,amex-1001,GOOGLE *FITBIT LLC      G.CO/HELPPAY#,14.68
2024-11-23,amex-1001,AUDIBLE CA*HK6B56CR3    AMZN.COM/BILL,15.70
2024-11-23,amex-1001,GOOGLE*CHATGPT GOOGLE P G.CO HELPPAY#,30.50
2024-11-24,amex-1001,ESSO CIRCLE K 0302      TORONTO,76.25
2024-11-25,amex-1001,GOOGLE*YOUTUBEPREMIUM G G.CO HELPPAY#,14.68
2024-11-25,amex-1001,RABBA FINE FOODS #171   TORONTO,7.99
2024-11-26,amex-1001,TST-BAR AFTER SEVEN     TORONTO,8.46
2024-11-27,amex-1001,PAYMENT RECEIVED - THANK YOU,-1297.17
2024-11-28,amex-1001,=HOLYCOWSTEAKHOUSE 001  TORONTO,28.58
2024-11-28,amex-1001,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,15.81
2024-11-28,amex-1001,GOOGLE*GOOGLE STORE GOO G.CO HELPPAY#,1298.36
2024-11-28,amex-1001,JPN VISA OR CONSULAR FE TOKYO,28.77
2024-11-28,amex-1001,RABBA FINE FOODS #171   TORONTO,11.37
2024-11-29,amex-1001,2233990 ONTARIO INC 154 MISSISSAUGA,14.22
2024-11-29,amex-1001,APPLE.COM/CA            TORONTO,620.37
2024-11-29,amex-1001,CHIPOTLE #2986          TORONTO,20.40
2024-11-29,amex-1001,LULULEMON #00212        TORONTO,178.54
2024-11-29,amex-1001,ROGERS ******0136       888-764-3771,106.78
2024-12-01,amex-1001,PI CO. SDM INC.         Toronto,22.14
2024-12-01,amex-1001,RABBA FINE FOODS #171   TORONTO,7.99
2024-12-02,amex-1001,=HOLYCOWSTEAKHOUSE 001  TORONTO,24.68
2024-12-02,amex-1001,AGODA.COM*AGODA.COM THE LONDON,130.72
2024-12-02,amex-1001,CANADIAN TIRE STORE #62 TORONTO,48.96
2024-12-02,amex-1001,LULULEMON #00261        TORONTO,470.08
2024-12-02,amex-1001,LULULEMONCOM            877-263-9300,302.84
2024-12-02,amex-1001,UNCLE TETSU CANADA 2080 TORONTO,7.80
2024-12-03,amex-1001,AGODA.COM*AGODA.COM HOT LONDON,534.05
2024-12-03,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,170.27
2024-12-03,amex-1001,CAMBRIDGE GROUP OF CL   416-363-9454,244.70
2024-12-03,amex-1001,RABBA FINE FOODS #171   TORONTO,7.99
2024-12-03,amex-1001,TASTY CHINESE FOOD TORO TORONTO,16.04
2024-12-03,amex-1001,TST-BAR AFTER SEVEN     TORONTO,8.46
2024-12-04,amex-1001,2403384 ONTARIO LIMITED CALEDON,16.60
2024-12-04,amex-1001,AGODA.COM*AGODA.COM SOR LONDON,505.21
2024-12-04,amex-1001,BELL CANADA (OB)        MONTREAL,158.14
